sub_id,A1,A2,A3,A4,A5,A6,A7,A8,story,p_type,q1,q2,q3,q4,q5,q6,q7,q8
sub-01,It is a dark moody restaurant with a lot of dark wood paneling on the walls and a fancy candelabra.,The menus are heavy and long and are printed on nice paper. ,"Mr. gordon orders a medium rare steak and a martini, and mr. shelton orders veal and a manhattan.",The food is disappointing. both men think the meat is dry and overcooked.,Not sure about this but i think mr. gordon is the ceo of his company and mr. shelton is the cfo of the larger company looking to acquire them.,Also not sure but i think it was several hundred million. ,,,31,loc,3,2,3,3,3,2,0,0
sub-02,"Posh, upscale","Fancy, heavy, felt covered",One orders steak and an alcholic drink and the other orders veal and an alcholic drink,"Overcooked and maybe a bit bland, so the answer is that they didn't really like it",Big fancy finance titles. ,"A lot, 10,000 at least",Don't knpw,Handshake,31,loc,0,2,2,2,0,0,0,0
sub-03,"Very simply, with wooden tables","Heavy, black text",Steak and some seafood,The food ends up being overcooked and generally not appetizing,Representatives of each business,One million,I don't remember,Handshake,31,loc,1,1,1,2,0,1,0,0
sub-04,Idk,Idk,Idk,Idk,"Mr shelton owns a company, so presumably ceo. i don't know about mr gordon",600 million,Techgiant,A toast,31,np,0,0,0,0,1,3,2,2
sub-05,Finely,Heavy with felt on them,Mr. shelton orders veal and a manhattan; mr. gordon orders steak medium rare and a martini,Neither likes what he eats.  the meat is overcooked and dry.,Mr shelton is cfo and mr gordon is ceo,600 million dollars,,Handshake and a sip of their cocktails,31,np,0,2,3,3,3,3,0,0
sub-06,Red velvet and wooden,Velvet menus smooth to the touch with lots of options,"Steak, mr gordon order the steak medium; both steaks we a little dry",It was subpar because the food was a little overcooked and dry,Mr shelton is cfo and mr gordon is ceo,6 million dollars,Question,Clinking of their manhattan and martini drinks,31,np,1,1,2,3,3,2,0,3
sub-08,I don't know,The menus are velvet and large,Mr. shelton orders a martini and mr. gordon orders a manhattan,They enjoy the food ,Mr. shelton is the cfo of his company and mr. gordon is the ceo of his,600000000,Netjet,They cheers their drinks,31,soc,0,1,3,0,3,3,2,3
sub-10,Wooden floors,Very ordinary,Mr shelton orders the steak medium rare with a martini and mr gordon orders ribs with manhattan,They do not like it that much as the meat is dry and overcooked,Mr gordon is an investor and mr shelton is a business owner/boss,600000,Do not remember,Cheers,31,loc,1,0,3,3,1,1,0,3
sub-12,"Wood-panelled, chandeliers, taxidermied animals","Heavy, velvety exterior, long drink menu",Shelton orders veal; gordon orders steak,Both agree the meats are overcooked and they think the food is subpar,Shelton cfo; gordon ceo,600 million,,Cheers of their drinks,31,soc,2,3,3,2,3,3,0,3
sub-13,In an older style with walnut panels. also the menus were covered in felt,They are covered in felt and the list of drinks on the back is very long,Mr gordon ordered a medium-rare steak. i do not recall what mr shelton ordered,They both find the meat to be overcooked,Mr. shelton is a cfo of a large company and mr. gordon is the ceo of a small but promising company,800 million dollars,I don't recall. i'm not sure it was mentioned,They toasted with drinks; mr shelton had a martini,31,soc,1,2,2,2,3,2,0,3
sub-14,,Very decorated,"Medium rare steak, veal",Both love it,"Cfo of airline corporation, ceo of small airline company",600 million,Orange jetline,Toast with their drinks,31,soc,0,0,2,0,2,3,2,3
sub-16,I don't remember,I don't remember,I don't remember,I don't remember,I don't remember,600 million,I don't remember,Let mr. shelton have the final say for all his products,31,soc,0,0,0,0,0,3,0,0
